SubID,CS2minusUSminus_early,CS2minusUSminus_late,CS2plusUSplus_early,CS2plusUSplus_late,CS2nUSminus_early,CS2nUSminus_late,CS2nUSplus_early,CS2nUSplus_late,CS1minusUSminus_early,CS1minusUSminus_late,CS1plusUSplus_early,CS1plusUSplus_late,CS1nUSminus_early,CS1nUSminus_late,CS1nUSplus_early,CS1nUSplus_late
917,-0.0700017242341648,-0.0406841960906758,0.022041368463907,0.00529261671019132,-0.0651973035299652,-0.0501643141553239,0.0154711284728253,0.011540216393262,0.0161747045230539,0.0163962426088804,-0.028635262037568,-0.0384013187245585,0.0124383609688051,0.0223281670544123,-0.0292992485110949,-0.0251835366785495
918,0.0218008470110152,0.00962340298293487,0.0109976781987754,-0.000276284422159271,-0.0143381074887525,-0.0143870854776674,-0.0153647115962016,0.00381266776796644,0.0501483232950407,0.0415950204643895,0.0393314238905671,0.0107916235319123,0.0237354850336365,0.048200897796114,-0.000230661160067106,0.0355664094963175
919,0.0867964711617079,0.108037903708851,0.0391300638941595,0.0106109076976595,0.035296755590656,0.0379397088575068,0.0352584070366125,0.0263641012658242,-0.0206223690768018,-0.0248501288661554,-0.0573661602909179,-0.0606711071703196,-0.0749951227911571,-0.047107576565993,-0.072918450010024,-0.061721236210014
920,0.0522077962623006,0.0573277606360352,0.0757465793554898,0.0961439516851415,-0.0144471854106219,0.00390386035365865,-0.0102031482929151,-0.00864026201798999,0.00117479853348917,0.00853458891119475,0.00790923967271169,0.0247318232322739,-0.0958223945196968,-0.0354210906579581,-0.0983405973831387,-0.0470853486699039
921,0.0877615341230138,0.0958182736851482,0.0870860815626779,0.106834900014166,0.0767240353466903,0.062389729490884,0.0815340006959796,0.0618541201094661,-0.0724615728952012,-0.0564856602620284,-0.0608424381989412,-0.0372688144547854,-0.0736120066303979,-0.0771104501725229,-0.0622398275719999,-0.0668457512344749
922,0.0559784187408212,0.063162101577413,0.117430341755816,0.0788450629887044,0.0624290548091468,0.0973345899201597,0.0853032379126794,0.11958325701985,-0.0449409010056781,-0.0272941869031717,-0.0603417542359969,-0.0940689409270685,-0.0459715640805953,0.00247196560089738,-0.109762817960344,-0.0536066155999153
923,-0.0171327418612494,-0.0036549616799333,-0.028822964717541,-0.0434342797159977,-0.0135677643702788,-0.0185558524259235,-0.0279058649672108,-0.0345743325821577,0.0631163788743289,0.0652427247144123,0.0715703044436502,0.0595194957043319,0.0539013442975885,0.0491184585985053,0.0618669791905033,0.0510159729798
924,0.0214048415417703,0.0220105730895201,0.0630555915448078,0.0653854323256563,0.0506677935661362,0.0367443124600458,0.0895724540771482,0.0842117904282937,-0.0282327825335248,-0.00481086135645005,0.0153937951738371,-0.0317522619395462,0.0252145774345578,0.0153841766710726,0.0208023365775915,0.0324798444547803
927,0.0210143082951518,0.0311124012855534,0.0113872172039334,0.0485156727334687,0.0128007180897344,-0.0110296923298951,0.0585692838076506,0.028719643883467,0.0165130148276579,0.0201098386208051,-0.0177044447810232,0.00989492721731992,-0.00621349611232931,-0.0244086691623802,-0.00579068766164315,-0.00497254219263379
928,0.0170216962401936,0.00864252966176649,-0.0239965606136597,0.00107277919480526,0.0169646071678212,-0.0158477830517333,-0.00850132890614838,-0.0419257785503014,0.00342953402251495,-0.00415790157664687,-0.0046618499645355,0.0396256116445323,0.0122662712856456,-0.022437688319139,0.0201779370479295,-0.0103034271354252
929,0.0228243036687157,0.0275957622289336,0.0287732157063873,0.0402804148831009,0.0193783052004773,0.00379233438038542,0.0488130293736316,0.00695402884082656,0.00592215990802516,-0.00630908910533616,-0.0319369715272351,-0.0134916332657883,-0.0144688217622398,-0.0315234684781711,-0.00341288408790048,-0.0449980283936112
930,-0.003710511898121,0.00957668449162736,-0.0148905918543997,-0.0259724514062429,0.0107891819470154,-0.00909113879739349,-0.0186613316691948,-0.0153281659791695,-0.0116860639317579,0.00415888278895743,-0.01675716181858,-0.0099213483574227,0.00815848743666309,0.00490652016115835,0.00192870368787097,0.00634556822872391
931,0.058109520451053,0.0754059409393821,0.0431159863584279,0.0537887996760961,0.115697385559661,0.0798336381889124,0.05113506063598,0.0491013620621888,-0.064219857015769,-0.0333372617381072,-0.0293306818490038,-0.039706737217739,-0.0129646218983436,-0.035856118450396,-0.0342646753608632,-0.0442936003059032
932,-0.0183150443299194,-0.0186731635724385,0.0298911749998,0.0431407119725165,-0.00137052349079515,0.00420278225597506,0.0278904355408409,0.0484626898880346,0.0121888046884386,0.0308044340450497,-0.0177692220936957,-0.0117828943986925,0.0257237506488828,0.0059389535660096,-0.0288165902151786,-0.0338079126976455
933,0.0356459613632693,0.0256066507332775,0.00647165112204486,0.0112246659125569,0.0129613711230723,-0.0255582373249253,-0.0429555107744309,-0.0611217485657101,0.0748305652550314,0.0472699813453898,0.105138813540747,0.132566376449906,0.0280213548332839,0.0112719145922648,0.0674794953502628,0.0699636186061014
934,-0.0114465177624176,0.00394630364313931,0.0536870426319449,-0.00533682769341843,-0.0219953149221049,0.00656145337874896,-0.00259277502606699,0.0301190154721203,-0.0283954829288619,-0.0216192421362004,-0.0351112519462058,-0.0237261600710569,-0.0328184234864339,-0.00990003553788174,-0.0529414113301011,-0.035439717882369
935,0.000366710285553574,0.0217535265276914,-0.0448556905699017,-0.0742099780638562,0.0116449397358379,-0.00207402436293517,-0.0325135200561456,-0.0472078320419233,0.0146852769494227,0.0236889512372241,0.0162039266604042,-0.00759745918444744,0.0317167502200753,0.0143827105624085,0.041571650983925,0.0278250267219564
936,-0.0166263857862226,-0.00361943194823415,-0.0450733680595872,-0.0377642199179562,-0.0281788966886296,-0.041336021105165,-0.00668553277925667,-0.0300532562388236,0.0387103190864576,0.0682795692418824,0.000662422274159976,-0.00798910220858793,0.0671884048348108,0.0415952537660431,0.0259800593588863,0.00313342719057391
937,0.102398659735404,0.122407368977772,0.0619719659534528,0.0500959591478186,0.0814824790291218,0.0824692721611596,0.0823481993290921,0.0601109441353979,0.0161306828764455,0.0228984196546446,-0.0259752689690604,-0.027919426159976,-0.0247767880790422,-0.0118847242753143,-0.00223527671705305,0.00208300427717313
